optimizer,c,regularization,accuracy,
 normal,0.001,l1,0.910824288647697,
 normal,0.001,l2,0.910824288647697,
 normal,0.001,elasticnet,0.910824288647697,
 normal,0.01,l1,0.910824288647697,
 normal,0.01,l2,0.910824288647697,
 normal,0.01,elasticnet,0.910824288647697,
 normal,0.1,l1,0.910824288647697,
 normal,0.1,l2,0.910824288647697,
 normal,0.1,elasticnet,0.910824288647697,
 normal,1,l1,0.910824288647697,
 normal,1,l2,0.910824288647697,
 normal,1,elasticnet,0.910824288647697,
 normal,10,l1,0.910824288647697,
 normal,10,l2,0.910824288647697,
 normal,10,elasticnet,0.910824288647697,
 normal,100,l1,0.910824288647697,
 normal,100,l2,0.910824288647697,
 normal,100,elasticnet,0.910824288647697,
 steepest_ascent,0.001,l1,0.9108242886476973,
 steepest_ascent,0.001,l2,0.9108242886476973,
 steepest_ascent,0.001,elasticnet,0.9108242886476973,
 steepest_ascent,0.01,l1,0.9108242886476973,
 steepest_ascent,0.01,l2,0.9108242886476973,
 steepest_ascent,0.01,elasticnet,0.9108242886476973,
 steepest_ascent,0.1,l1,0.9108242886476973,
 steepest_ascent,0.1,l2,0.9108242886476973,
 steepest_ascent,0.1,elasticnet,0.9108242886476973,
 steepest_ascent,1,l1,0.9108242886476973,
 steepest_ascent,1,l2,0.9108242886476973,
 steepest_ascent,1,elasticnet,0.9108242886476973,
 steepest_ascent,10,l1,0.9108242886476973,
 steepest_ascent,10,l2,0.9108242886476973,
 steepest_ascent,10,elasticnet,0.9108242886476973,
 steepest_ascent,100,l1,0.9108242886476973,
 steepest_ascent,100,l2,0.8633030214139044,
 steepest_ascent,100,elasticnet,0.8633030214139044,
 uld,0.001,l1,0.910824288647,
 uld,0.001,l2,0.910824288647,
 uld,0.001,elasticnet,0.910824288647,
 uld,0.01,l1,0.910824288647,
 uld,0.01,l2,0.910824288647,
 uld,0.01,elasticnet,0.072161924317,
 uld,0.1,l1,0.910824288647,
 uld,0.1,l2,0.910824288647,
 uld,0.1,elasticnet,0.910824288647,
 uld,1,l1,0.910824288647,
 uld,1,l2,0.910824288647,
 uld,1,elasticnet,0.910824288647,
 uld,10,l1,0.910824288647,
 uld,10,l2,0.060721619243,
 uld,10,elasticnet,0.022000586682,
 uld,100,l1,0.910824288647,
 uld,100,l2,0.060721619243,
 uld,100,elasticnet,0.060721619243,
 newton_method,0.001,l1,0.2915811088295688,
 newton_method,0.001,l2,0.12584335582282194,
 newton_method,0.001,elasticnet,0.13904370783220885,
 newton_method,0.01,l1,0.452332062188325,
 newton_method,0.01,l2,0.385450278674098,
 newton_method,0.01,elasticnet,0.18597829275447345,
 newton_method,0.1,l1,0.10120269873863302,
 newton_method,0.1,l2,0.1933118216485773,
 newton_method,0.1,elasticnet,0.8844235846289235,
 newton_method,1,l1,0.18773833968905837,
 newton_method,1,l2,0.06952185391610442,
 newton_method,1,elasticnet,0.16309768260486945,
 newton_method,10,l1,0.3860369609856263,
 newton_method,10,l2,0.10501613376356703,
 newton_method,10,elasticnet,0.20240539747726605,
 newton_method,100,l1,0.08770900557348196,
 newton_method,100,l2,0.158990906,
 newton_method,100,elasticnet,0.084188912,
